#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.80072    -5.80072           0
           2    -5.80113    -5.80093 0.000145682
           3    -5.81288    -5.80491  0.00325392
           4    -5.83446     -5.8123  0.00684763
           5    -5.83814    -5.81747  0.00716751
           6    -5.83067    -5.81967  0.00630189
           7    -5.80926    -5.81818  0.00557413
           8    -5.81299    -5.81753  0.00491504
           9    -5.80184    -5.81579  0.00466799
          10    -5.82552    -5.81676  0.00430154
          11    -5.81473    -5.81658  0.00391446
          12    -5.79833    -5.81506  0.00387231
          13    -5.80848    -5.81455  0.00360736
          14    -5.80898    -5.81415  0.00337154
          15     -5.8135    -5.81411  0.00314705
          16    -5.81962    -5.81445  0.00296916
          17    -5.82279    -5.81494  0.00283469
          18    -5.81449    -5.81492  0.00267732
          19    -5.80989    -5.81465  0.00254946
          20    -5.80026    -5.81393  0.00252147
