# VELOCITY:     AVE_POFV:        ERROR:
           0  0.00289037 0.000382147
    0.262377   0.0205737  0.00108938
    0.524754   0.0526561  0.00150111
     0.78713   0.0825348  0.00190741
     1.04951    0.111953  0.00220467
     1.31188     0.12489  0.00258441
     1.57426    0.134082  0.00257357
     1.83664     0.12184  0.00219752
     2.09901    0.100729  0.00180236
     2.36139   0.0826496  0.00171178
     2.62377   0.0639363  0.00173931
     2.88615   0.0426298   0.0014509
     3.14852   0.0294874 0.000937525
      3.4109   0.0172854   0.0010018
     3.67328  0.00725741 0.000583253
     3.93565  0.00289796 0.000341014
     4.19803  0.00118111 0.000246335
     4.46041 0.000364074 0.000114554
     4.72278 0.000133148 7.17744e-05
     4.98516 1.53704e-05 9.46298e-06
     5.24754  1.2963e-05 1.28327e-05
     5.50991           0           0
     5.77229           0           0
     6.03467           0           0
     6.29704           0           0
     6.55942           0           0
      6.8218           0           0
     7.08417           0           0
     7.34655           0           0
     7.60893           0           0
