#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.43645    -1.43645           0
           2     -1.6222    -1.52932   0.0656737
           3    -1.49387     -1.5175   0.0448333
           4     -1.3807     -1.4833   0.0448097
           5    -1.15122    -1.41689   0.0693825
           6    -1.03156    -1.35267   0.0823405
           7    -0.92859    -1.29208   0.0901504
           8    -0.82316    -1.23347   0.0960657
           9   -0.723544    -1.17681    0.100724
          10   -0.662513    -1.12538    0.102947
          11   -0.628493    -1.08021    0.103023
          12   -0.612256    -1.04121     0.10155
          13    -0.65052    -1.01116   0.0980852
          14   -0.676025   -0.987222   0.0939548
          15   -0.673718   -0.966321   0.0899858
          16   -0.617477   -0.944519   0.0869629
          17     -0.5504   -0.921335   0.0848814
          18   -0.488235   -0.897274   0.0835065
          19   -0.470754   -0.874826   0.0820733
          20    -0.47038   -0.854603   0.0804223
          21   -0.463102    -0.83596   0.0787239
          22   -0.474293   -0.819521   0.0768428
          23   -0.480351   -0.804775   0.0749034
          24   -0.476702   -0.791105   0.0730191
          25   -0.469834   -0.778254   0.0712202
          26   -0.477651   -0.766692   0.0694131
          27   -0.482046    -0.75615   0.0676381
          28   -0.536082    -0.74829   0.0656775
          29   -0.531434   -0.740813    0.063837
          30    -0.55005   -0.734454    0.062025
          31    -0.52715   -0.727767   0.0603836
          32   -0.517901   -0.721208   0.0588517
          33   -0.515777   -0.714983   0.0573966
          34   -0.476238   -0.707961   0.0561364
          35    -0.48981   -0.701728   0.0548774
          36   -0.476074    -0.69546   0.0537098
          37   -0.425435   -0.688162   0.0527517
          38   -0.413586   -0.680936    0.051856
          39    -0.37801   -0.673169   0.0511048
          40   -0.382792    -0.66591   0.0503401
          41    -0.40696   -0.659594   0.0495069
          42   -0.433425   -0.654209   0.0486202
          43   -0.419697   -0.648755   0.0477944
          44   -0.421624   -0.643593   0.0469861
          45   -0.442412   -0.639122   0.0461541
          46   -0.460537    -0.63524   0.0453138
          47   -0.450936   -0.631319    0.044519
          48   -0.451018   -0.627562   0.0437497
          49   -0.431073   -0.623552   0.0430402
          50   -0.431595   -0.619713   0.0423503
#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.431952   -0.431952           0
           2   -0.431317   -0.431634 0.000224732
           3   -0.450983   -0.438084  0.00526823
           4   -0.451382   -0.441409  0.00488886
           5   -0.460148   -0.445157  0.00515116
           6   -0.442019   -0.444634  0.00431909
           7   -0.421268   -0.441296  0.00482238
           8   -0.419743   -0.438602  0.00491486
           9   -0.433478   -0.438032  0.00440161
          10   -0.406296   -0.434859  0.00497573
          11    -0.38241   -0.430091  0.00641317
          12   -0.377961   -0.425747  0.00720127
          13   -0.414623   -0.424891  0.00669797
          14   -0.426329   -0.424994  0.00622033
          15   -0.475611   -0.428368  0.00665833
          16   -0.491091   -0.432288  0.00730561
          17   -0.476287   -0.434876  0.00731998
          18   -0.516012   -0.439384   0.0081843
          19   -0.518079   -0.443526  0.00873896
          20   -0.527121   -0.447706  0.00924772
          21   -0.550823   -0.452616   0.0100266
          22   -0.531148   -0.456186   0.0101865
          23   -0.535031   -0.459614   0.0103043
          24   -0.481651   -0.460532  0.00991578
          25   -0.477858   -0.461225  0.00954334
          26    -0.46964   -0.461549  0.00918177
          27   -0.476951   -0.462119  0.00885941
          28   -0.480056    -0.46276  0.00856613
          29   -0.473185   -0.463119  0.00827829
          30    -0.46387   -0.463144  0.00800238
          31   -0.470546   -0.463383   0.0077478
          32   -0.470912   -0.463618  0.00750925
          33   -0.489082    -0.46439  0.00732124
          34   -0.551557   -0.466954  0.00754144
          35   -0.618604   -0.471286  0.00847982
          36   -0.673827   -0.476913  0.00993689
          37   -0.676622    -0.48231   0.0110373
          38   -0.649405   -0.486707   0.0115897
          39   -0.612479   -0.489932   0.0117327
          40   -0.628795   -0.493404   0.0119419
          41   -0.663121   -0.497543   0.0123473
          42   -0.725341   -0.502967   0.0131908
          43   -0.826006    -0.51048   0.0148703
          44   -0.930751   -0.520031   0.0173306
          45    -1.03335   -0.531438   0.0203563
          46    -1.15456   -0.544984   0.0240014
          47    -1.38506   -0.562858   0.0294022
          48    -1.49553   -0.582289   0.0346198
          49    -1.61926   -0.603452   0.0398601
          50    -1.43626   -0.620108   0.0424003
