#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.8128      1.8128           0
           2      1.4536      1.6332    0.126998
           3      1.3937     1.55337    0.106851
           4     1.37123     1.50783   0.0893155
           5      1.3543     1.47713    0.076549
           6     1.33641     1.45367   0.0672875
           7     1.32646      1.4355   0.0600792
           8     1.32485     1.42167   0.0541379
           9     1.30891     1.40914    0.049551
          10     1.29937     1.39816   0.0457956
          11     1.31502      1.3906   0.0422515
          12     1.36066     1.38811   0.0388041
          13     1.31634     1.38259   0.0362097
          14     1.35399     1.38055   0.0336809
          15     1.33385     1.37743   0.0315791
          16     1.31391     1.37346   0.0298539
          17     1.30769     1.36959   0.0283474
          18     1.30016     1.36574   0.0270337
          19     1.30451     1.36251   0.0258023
          20     1.29166     1.35897   0.0247542
          21     1.30564     1.35643   0.0237053
          22     1.32869     1.35517   0.0226613
          23     1.31834     1.35357   0.0217325
          24     1.33809     1.35292   0.0208366
          25     1.28554     1.35023   0.0201767
          26     1.35027     1.35023   0.0194007
          27     1.35804     1.35052   0.0186843
          28      1.2925     1.34845   0.0181315
          29     1.33179     1.34787   0.0175154
          30     1.32815     1.34722   0.0169439
          31     1.32709     1.34657   0.0164097
          32     1.33814      1.3463   0.0158991
          33     1.34028     1.34612   0.0154183
          34     1.31383     1.34517   0.0149941
          35     1.29113     1.34363    0.014645
          36     1.33075     1.34327   0.0142425
          37     1.37669     1.34417   0.0138862
          38     1.31567     1.34342    0.013541
          39      1.3279     1.34302   0.0131997
          40     1.34106     1.34298   0.0128698
          41     1.31909     1.34239   0.0125691
          42     1.30923      1.3416   0.0122946
          43     1.33405     1.34143   0.0120099
          44     1.33093     1.34119   0.0117393
          45     1.31572     1.34062   0.0114921
          46     1.33062     1.34041   0.0112443
          47     1.34603     1.34052   0.0110057
          48     1.31368     1.33997   0.0107906
          49     1.31222      1.3394   0.0105852
          50     1.29078     1.33843   0.0104181
           1     1.29078     1.29078           0
           2     1.31222      1.3015  0.00758202
           3     1.31368     1.30556  0.00604448
           4     1.34603     1.31568  0.00986593
           5     1.33062     1.31867  0.00833286
           6     1.31572     1.31818  0.00695851
           7     1.33102     1.32001  0.00620164
           8     1.33993      1.3225   0.0059052
           9     1.32526     1.32281  0.00525703
          10     1.35437     1.32596  0.00559902
          11     1.33857     1.32711  0.00520603
          12      1.3544     1.32938  0.00524532
          13     1.33579     1.32988  0.00486489
          14     1.33683     1.33037  0.00454271
          15     1.33591     1.33074  0.00425486
          16      1.3328     1.33087  0.00399088
          17     1.33538     1.33114  0.00376494
          18     1.31735     1.33037  0.00363279
          19     1.32498     1.33009  0.00345266
          20     1.29013     1.32809  0.00381456
          21     1.32465     1.32793  0.00363642
          22     1.29538     1.32645  0.00376001
          23     1.30563     1.32554  0.00370388
          24     1.36649     1.32725  0.00392294
          25      1.3451     1.32796  0.00383045
          26     1.33574     1.32826   0.0036948
          27     1.31947     1.32793  0.00357227
          28     1.33503     1.32819  0.00345367
          29     1.32757     1.32817  0.00333465
          30     1.31949     1.32788  0.00323601
          31     1.33799      1.3282  0.00314803
          32     1.29311     1.32711  0.00323509
          33     1.30958     1.32658  0.00318036
          34     1.30545     1.32595  0.00314694
          35     1.29733     1.32514   0.0031615
          36     1.32419     1.32511  0.00307379
          37     1.33392     1.32535  0.00299993
          38     1.33342     1.32556   0.0029285
          39     1.35286     1.32626  0.00293589
          40     1.30959     1.32584  0.00289194
          41     1.32144     1.32574  0.00282339
          42     1.31749     1.32554  0.00276299
          43     1.34856     1.32608  0.00275012
          44     1.33914     1.32637  0.00270359
          45     1.30163     1.32582  0.00269884
          46     1.30617      1.3254  0.00267379
          47     1.32414     1.32537  0.00261703
          48     1.29964     1.32483  0.00261684
          49     1.31473     1.32463  0.00257155
          50      1.3249     1.32463  0.00252012
