#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59681     1.59681           0
           2     1.59663     1.59672 6.10406e-05
           3     1.59666      1.5967 4.38906e-05
           4     1.59673     1.59671 3.34777e-05
           5     1.59683     1.59673 3.44312e-05
           6     1.59685     1.59675 3.41721e-05
           7     1.59648     1.59671 4.62603e-05
           8     1.59663      1.5967 4.17379e-05
           9     1.59676     1.59671 3.76574e-05
          10     1.59684     1.59672 3.62566e-05
          11     1.59672     1.59672 3.29606e-05
          12     1.59655     1.59671 3.31895e-05
          13     1.59676     1.59671 3.08843e-05
          14     1.59668     1.59671 2.87391e-05
          15     1.59687     1.59672 2.86242e-05
          16     1.59675     1.59672 2.68822e-05
          17      1.5968     1.59673 2.57117e-05
          18     1.59658     1.59672 2.55891e-05
          19     1.59652     1.59671 2.62919e-05
          20     1.59678     1.59671 2.52434e-05
          21     1.59679     1.59672  2.4292e-05
          22     1.59674     1.59672 2.32212e-05
          23      1.5967     1.59672  2.2228e-05
          24     1.59659     1.59671 2.19336e-05
          25     1.59664     1.59671 2.12402e-05
          26     1.59687     1.59671 2.13113e-05
          27     1.59674     1.59671 2.05385e-05
          28      1.5968     1.59672 2.00352e-05
          29     1.59678     1.59672 1.94454e-05
          30     1.59669     1.59672 1.88149e-05
          31     1.59683     1.59672 1.85713e-05
          32     1.59679     1.59672  1.8114e-05
          33     1.59678     1.59673 1.76504e-05
          34     1.59686     1.59673 1.75678e-05
          35     1.59676     1.59673 1.70894e-05
          36     1.59651     1.59673 1.76961e-05
          37     1.59661     1.59672 1.74838e-05
          38     1.59647     1.59672  1.8212e-05
          39      1.5969     1.59672 1.83411e-05
          40     1.59676     1.59672   1.791e-05
          41     1.59666     1.59672 1.75373e-05
          42     1.59667     1.59672 1.71525e-05
          43     1.59675     1.59672 1.67667e-05
          44     1.59674     1.59672 1.63947e-05
          45     1.59677     1.59672 1.60742e-05
          46     1.59664     1.59672 1.58231e-05
          47     1.59663     1.59672 1.55893e-05
          48     1.59669     1.59672 1.52751e-05
          49     1.59671     1.59672 1.49649e-05
          50     1.59676     1.59672 1.46854e-05
