#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.20879     0.20879           0
           2    0.204724    0.206757  0.00143755
           3    0.177172    0.196895  0.00810885
           4    0.214508    0.201299  0.00717825
           5    0.191586    0.199356  0.00599967
           6    0.194097     0.19848  0.00506335
           7    0.214077    0.200708  0.00480535
           8    0.190012    0.199371  0.00438673
           9    0.187458    0.198047  0.00409414
          10    0.182253    0.196468  0.00397772
          11    0.203955    0.197148  0.00367389
          12    0.236463    0.200425  0.00460226
          13    0.207743    0.200988  0.00428253
          14    0.218512    0.202239  0.00415555
          15    0.240938    0.204819  0.00461032
          16    0.195236     0.20422  0.00436091
          17    0.194556    0.203652  0.00414127
          18    0.197063    0.203286  0.00392735
          19     0.16776    0.201416  0.00414189
          20    0.243453    0.203518  0.00443616
