#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.446767    0.446767           0
           2      0.3765    0.411634    0.024843
           3    0.434727    0.419331   0.0177145
           4     0.40081    0.414701   0.0138778
           5    0.411049     0.41397   0.0111215
           6    0.411752    0.413601  0.00927403
           7    0.438081    0.417098  0.00858328
           8     0.42069    0.417547   0.0075221
           9    0.416617    0.417444  0.00668702
          10    0.399341    0.415633  0.00625856
          11    0.429697    0.416912  0.00581873
          12    0.439459    0.418791  0.00562903
          13    0.403458    0.417611  0.00531815
          14    0.404985    0.416709  0.00501418
          15    0.405705    0.415976  0.00473326
          16     0.42049    0.416258  0.00444584
          17    0.428158    0.416958  0.00423906
          18     0.41503    0.416851  0.00400491
          19    0.404155    0.416183  0.00384947
          20    0.452015    0.417974  0.00405253
