#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      14.799      14.799           0
           2     15.0521     14.9255   0.0894906
           3     15.6321      15.161    0.201338
           4     14.8357     15.0797    0.166627
           5     15.1574     15.0952    0.134024
           6     14.6189     15.0158    0.133139
           7     13.9647     14.8657    0.179861
           8     15.7664     14.9783    0.189365
           9     15.6003     15.0474    0.180497
          10     15.3094     15.0736    0.164339
          11     15.1417     15.0798    0.149516
          12     14.2843     15.0135     0.15104
          13     16.0532     15.0935    0.159195
          14     15.3918     15.1148    0.149244
          15     14.3465     15.0636    0.147822
          16     15.4842     15.0899    0.140902
          17     14.2991     15.0433    0.140081
          18     13.9421     14.9822    0.145045
          19     14.9439     14.9801    0.137425
          20     15.1163     14.9869    0.130722
