#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.803686   -0.803686           0
           2    -0.80441   -0.804048 0.000255973
           3   -0.806472   -0.804856 0.000681442
           4   -0.802604   -0.804293 0.000706351
           5   -0.805046   -0.804444 0.000580913
           6   -0.806256   -0.804746 0.000557121
           7   -0.805262   -0.804819 0.000482391
           8   -0.805502   -0.804905 0.000429571
           9    -0.80452   -0.804862 0.000383962
          10   -0.803026   -0.804678 0.000386981
          11   -0.806232    -0.80482 0.000376693
          12   -0.801852   -0.804572 0.000418684
          13   -0.803762    -0.80451  0.00039109
          14     -0.8039   -0.804466 0.000365574
          15    -0.80392    -0.80443 0.000343012
          16   -0.807288   -0.804609 0.000365134
          17   -0.802806   -0.804503 0.000358722
          18   -0.805584   -0.804563 0.000343787
          19   -0.805516   -0.804613 0.000329334
          20   -0.803852   -0.804575 0.000315057
