#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.286993    0.286993           0
           2    0.304333    0.295663  0.00613062
           3    0.309465    0.300264  0.00555112
           4    0.238781    0.284893   0.0139473
           5    0.287196    0.285354   0.0111654
           6    0.271956    0.283121  0.00952518
           7    0.263536    0.280323  0.00856549
           8    0.297583     0.28248  0.00776177
           9    0.288121    0.283107  0.00692461
          10    0.298197    0.284616  0.00639445
          11    0.325219    0.288307  0.00679549
          12     0.26348    0.286238  0.00653657
          13    0.263885    0.284519  0.00625583
          14    0.253973    0.282337  0.00617776
          15      0.2854    0.282541  0.00576928
          16    0.328997    0.285445  0.00609569
          17    0.279116    0.285072  0.00574848
          18      0.2962    0.285691  0.00546226
          19    0.301301    0.286512  0.00523619
          20    0.352261      0.2898  0.00591704
