#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.396858    0.396858           0
           2    0.395945    0.396401 0.000322922
           3     0.39831    0.397038 0.000562252
           4    0.394217    0.396332 0.000742138
           5    0.394446    0.395955 0.000682882
           6    0.398309    0.396347 0.000672367
           7    0.396424    0.396358 0.000576404
           8    0.398751    0.396658 0.000576771
           9    0.404439    0.397522 0.000962969
          10     0.40444    0.398214  0.00108711
          11    0.391798    0.397631  0.00113403
          12    0.402119    0.398005  0.00109947
          13    0.394755    0.397755  0.00104292
          14     0.39643     0.39766 0.000972712
          15    0.405077    0.398154  0.00102588
          16    0.396542    0.398054 0.000966699
          17    0.394803    0.397863 0.000928553
          18    0.388526    0.397344  0.00101152
          19    0.399488    0.397457 0.000964554
          20    0.398863    0.397527 0.000918885
