#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      4.3755      4.3755           0
           2     4.43402     4.40476   0.0206911
           3      4.2822     4.36391   0.0360979
           4     4.55088     4.41065   0.0487006
           5     4.46032     4.42058   0.0399608
           6     4.44733     4.42504   0.0335483
           7     4.43177       4.426   0.0287694
           8     4.62336     4.45067   0.0341494
           9     4.31642     4.43576   0.0334546
          10     4.36482     4.42866    0.030852
          11     4.51316     4.43634   0.0289877
          12     4.36436     4.43035   0.0271856
          13     4.47617     4.43387   0.0253219
          14     4.47078     4.43651   0.0236501
          15     4.38753     4.43324   0.0222977
          16     4.50077     4.43746   0.0212997
          17     4.37174      4.4336   0.0203947
          18     4.23126     4.42236   0.0221437
          19     4.38624     4.42045   0.0210597
          20     4.28862     4.41386    0.021013
