#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.93899    -0.93899           0
           2   -0.927468   -0.933229  0.00407364
           3   -0.935452    -0.93397  0.00278234
           4   -0.931976   -0.933471  0.00213094
           5   -0.938416    -0.93446  0.00192055
           6   -0.932858   -0.934193  0.00161892
           7   -0.934434   -0.934228  0.00138801
           8    -0.93563   -0.934403  0.00122553
           9   -0.932936    -0.93424  0.00110015
          10    -0.93697   -0.934513  0.00102344
          11   -0.935392   -0.934593 0.000933518
          12    -0.93202   -0.934378 0.000880003
          13   -0.935084   -0.934433 0.000813982
          14   -0.935932    -0.93454 0.000762852
          15   -0.933782   -0.934489 0.000713667
          16   -0.931438   -0.934299 0.000694076
          17   -0.934148    -0.93429 0.000653304
          18   -0.936066   -0.934388 0.000624418
          19   -0.938636   -0.934612 0.000630304
          20   -0.934466   -0.934605 0.000598831
