#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.296502    0.296502           0
           2    0.220287    0.258395   0.0269462
           3    0.316845    0.277878   0.0239953
           4    0.248794    0.270607   0.0190663
           5    0.252116    0.266909   0.0156076
           6    0.251771    0.264386   0.0132087
           7    0.219338     0.25795   0.0127937
           8    0.305473    0.263891   0.0124977
           9    0.348172    0.273255   0.0141902
          10    0.284327    0.274363   0.0128143
          11    0.255172    0.272618   0.0117676
          12    0.291407    0.274184   0.0108906
          13    0.238763    0.271459   0.0103881
          14    0.248304    0.269805  0.00977687
          15     0.25528    0.268837  0.00917291
          16     0.30817    0.271295  0.00892293
          17    0.270139    0.271227  0.00839831
          18    0.260523    0.270632  0.00795276
          19    0.265199    0.270346  0.00753934
          20    0.186318    0.266145   0.0082504
