#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     87.8361     87.8361           0
           2     92.5454     90.1908       1.665
           3     88.0594     89.4803     1.25244
           4      90.901     89.8355     0.98841
           5     90.3188     89.9322    0.795442
           6     91.4534     90.1857    0.702114
           7     91.8162     90.4186    0.639284
           8     88.3264     90.1571    0.610532
           9     84.8563     89.5681    0.776442
          10     89.5354     89.5649    0.698805
          11      90.721       89.67    0.643132
          12      88.915      89.607    0.592607
          13     90.5977     89.6833      0.5519
          14       91.98     89.8473    0.536307
          15     90.7085     89.9047    0.503617
          16     87.0663     89.7273    0.502415
          17     89.8972     89.7373    0.472961
          18     91.0797     89.8119    0.452527
          19     91.5936     89.9057    0.438318
          20     93.6548     90.0931    0.454724
