#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -1.00086    -1.00086           0
           2    -1.00691    -1.00388  0.00213659
           3    -1.00009    -1.00262  0.00175911
           4    -1.00242    -1.00257  0.00132002
           5    -1.00404    -1.00286  0.00108824
           6    -1.00448    -1.00313 0.000939807
           7     -1.0059    -1.00353 0.000884464
           8    -1.00102    -1.00322 0.000827518
           9   -0.996545    -1.00247  0.00101454
          10    -1.00221    -1.00245 0.000913433
          11    -1.00463    -1.00265 0.000851605
          12    -1.00215     -1.0026 0.000781628
          13    -1.00519     -1.0028 0.000746335
          14    -1.00349    -1.00285 0.000694637
          15    -1.00452    -1.00296 0.000657137
          16   -0.999687    -1.00276 0.000647179
          17     -1.0012    -1.00267 0.000615562
          18     -1.0039    -1.00274 0.000585137
          19    -1.00278    -1.00274 0.000554345
          20    -1.00836    -1.00302 0.000593543
