#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1       2.925       2.925           0
           2     2.92489     2.92495 3.84545e-05
           3     2.92456     2.92482 0.000106877
           4     2.92402     2.92462 0.000190955
           5     2.92325     2.92434  0.00028854
           6     2.92226       2.924 0.000398311
           7     2.92104     2.92357 0.000519407
           8     2.91958     2.92308 0.000651247
           9      2.9179      2.9225 0.000793443
          10     2.91596     2.92185 0.000945739
          11     2.91378     2.92111  0.00110798
          12     2.91135      2.9203  0.00128011
          13     2.90865      2.9194  0.00146212
          14     2.90568     2.91842  0.00165405
          15     2.90243     2.91736  0.00185602
          16     2.89888      2.9162  0.00206817
          17     2.89504     2.91496  0.00229066
          18     2.89089     2.91362  0.00252372
          19     2.88641     2.91219  0.00276758
          20     2.88159     2.91066  0.00302251
          21     2.87643     2.90903   0.0032888
          22      2.8709      2.9073  0.00356677
          23       2.865     2.90546  0.00385674
          24      2.8587     2.90351  0.00415908
          25     2.85204     2.90145  0.00447335
          26     2.84499     2.89928  0.00479943
          27     2.83751     2.89699   0.0051381
          28     2.82956     2.89458  0.00549005
          29     2.82113     2.89205  0.00585592
          30      2.8122     2.88939  0.00623628
          31     2.80276     2.88659   0.0066317
          32     2.79278     2.88366  0.00704272
          33     2.78224     2.88059  0.00746984
          34     2.77113     2.87737  0.00791357
          35     2.75941       2.874  0.00837441
          36     2.74708     2.87047  0.00885281
          37     2.73411     2.86679  0.00934926
          38     2.72048     2.86294  0.00986421
          39     2.70617     2.85892   0.0103981
          40     2.69116     2.85472   0.0109513
          41     2.67543     2.85035   0.0115243
          42     2.65896     2.84579   0.0121174
          43     2.64173     2.84105    0.012731
          44     2.62373     2.83611   0.0133655
          45     2.60493     2.83097    0.014021
          46     2.58534     2.82563   0.0146979
          47     2.56497     2.82009    0.015396
          48     2.54383     2.81433   0.0161151
          49     2.52188     2.80836   0.0168553
          50     2.49908     2.80218   0.0176166
          51     2.47543     2.79577   0.0183994
          52     2.45092     2.78914   0.0192035
          53     2.42556     2.78228    0.020029
          54     2.39934     2.77519   0.0208758
          55     2.37228     2.76786   0.0217436
          56      2.3444      2.7603    0.022632
          57      2.3157      2.7525   0.0235408
          58      2.2862     2.74446   0.0244693
          59     2.25594     2.73618   0.0254168
          60     2.22495     2.72766   0.0263828
          61     2.19326      2.7189   0.0273661
          62     2.16092      2.7099    0.028366
          63     2.12797     2.70066   0.0293812
          64     2.09448     2.69119   0.0304105
          65      2.0605     2.68149   0.0314525
          66      2.0261     2.67156   0.0325058
          67     1.99135      2.6614   0.0335686
          68     1.95634     2.65104   0.0346393
          69     1.92116     2.64046   0.0357159
          70      1.8859     2.62968   0.0367964
          71     1.85066     2.61871   0.0378787
          72     1.81554     2.60755   0.0389605
