#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1        1.95        1.95           0
           2     1.94993     1.94996 2.56363e-05
           3     1.94971     1.94988 7.12514e-05
           4     1.94935     1.94975 0.000127303
           5     1.94883     1.94956  0.00019236
           6     1.94817     1.94933 0.000265541
           7     1.94736     1.94905 0.000346271
           8     1.94639     1.94872 0.000434165
           9     1.94526     1.94833 0.000528962
          10     1.94398      1.9479 0.000630493
          11     1.94252     1.94741 0.000738657
          12      1.9409     1.94687 0.000853408
          13      1.9391     1.94627 0.000974745
          14     1.93712     1.94562   0.0011027
          15     1.93495      1.9449  0.00123735
          16     1.93259     1.94413  0.00137878
          17     1.93003      1.9433  0.00152711
          18     1.92726     1.94241  0.00168248
          19     1.92427     1.94146  0.00184505
          20     1.92106     1.94044  0.00201501
          21     1.91762     1.93935  0.00219253
          22     1.91394      1.9382  0.00237785
          23        1.91     1.93697  0.00257116
          24      1.9058     1.93567  0.00277272
          25     1.90136      1.9343  0.00298223
          26     1.89666     1.93285  0.00319962
          27     1.89167     1.93133   0.0034254
          28     1.88637     1.92972  0.00366003
          29     1.88075     1.92803  0.00390394
          30      1.8748     1.92626  0.00415752
          31     1.86851      1.9244  0.00442114
          32     1.86185     1.92244  0.00469515
          33     1.85483     1.92039  0.00497989
          34     1.84742     1.91825  0.00527572
          35     1.83961       1.916  0.00558294
          36     1.83139     1.91365  0.00590188
          37     1.82274     1.91119  0.00623284
          38     1.81365     1.90862  0.00657614
          39     1.80411     1.90595  0.00693205
          40     1.79411     1.90315  0.00730087
          41     1.78362     1.90023  0.00768287
          42     1.77264      1.8972  0.00807828
          43     1.76115     1.89403  0.00848736
          44     1.74915     1.89074  0.00891032
          45     1.73662     1.88731  0.00934736
          46     1.72356     1.88375  0.00979861
          47     1.70998     1.88006    0.010264
          48     1.69589     1.87622   0.0107434
          49     1.68125     1.87224   0.0112368
          50     1.66605     1.86812   0.0117444
          51     1.65029     1.86385   0.0122662
          52     1.63395     1.85943   0.0128023
          53     1.61704     1.85485   0.0133527
          54     1.59956     1.85012   0.0139172
          55     1.58152     1.84524   0.0144957
          56     1.56293      1.8402    0.015088
          57      1.5438       1.835   0.0156939
          58     1.52413     1.82964   0.0163128
          59     1.50396     1.82412   0.0169446
          60      1.4833     1.81844   0.0175885
          61     1.46217      1.8126   0.0182441
          62     1.44061      1.8066   0.0189107
          63     1.41865     1.80044   0.0195875
          64     1.39632     1.79413   0.0202737
          65     1.37366     1.78766   0.0209684
          66     1.35073     1.78104   0.0216705
          67     1.32757     1.77427   0.0223791
          68     1.30423     1.76736   0.0230929
          69     1.28077     1.76031   0.0238106
          70     1.25726     1.75312   0.0245309
          71     1.23377      1.7458   0.0252525
          72     1.21036     1.73837   0.0259737
          73     1.18711     1.73082   0.0266931
          74     1.16408     1.72316    0.027409
          75     1.14136      1.7154   0.0281199
          76     1.11902     1.70755    0.028824
          77     1.09715     1.69963   0.0295197
          78     1.07581     1.69163   0.0302051
          79      1.0551     1.68357   0.0308788
          80      1.0351     1.67547   0.0315388
          81     1.01587     1.66732   0.0321835
          82    0.997506     1.65915   0.0328113
          83    0.980072     1.65097   0.0334205
          84    0.963641     1.64279   0.0340095
          85    0.948278     1.63462    0.034577
          86    0.934043     1.62647   0.0351214
          87    0.920991     1.61836   0.0356416
          88    0.909169      1.6103   0.0361362
          89     0.89862     1.60231   0.0366042
          90    0.889375     1.59439   0.0370447
          91    0.881462     1.58655   0.0374569
          92    0.874895     1.57882   0.0378401
          93    0.869684     1.57119   0.0381937
          94    0.865827     1.56369   0.0385175
          95    0.863317     1.55632   0.0388112
          96    0.862135     1.54908   0.0390747
          97    0.862254       1.542   0.0393082
          98    0.863639     1.53508   0.0395119
          99    0.866249     1.52833   0.0396861
         100    0.870034     1.52174   0.0398315
         101    0.874937     1.51534   0.0399486
         102    0.880896     1.50912   0.0400383
         103    0.887843     1.50309   0.0401013
         104    0.895707     1.49725   0.0401388
         105    0.904411      1.4916   0.0401516
         106    0.913878     1.48615    0.040141
         107    0.924026      1.4809   0.0401082
         108    0.934772     1.47584   0.0400543
         109    0.946032     1.47098   0.0399807
         110    0.957723     1.46631   0.0398886
         111    0.969764     1.46184   0.0397793
         112    0.982073     1.45756   0.0396541
         113    0.994573     1.45346   0.0395142
         114     1.00719     1.44954   0.0393611
         115     1.01984     1.44581   0.0391957
         116     1.03246     1.44224   0.0390195
         117     1.04499     1.43885   0.0388334
         118     1.05736     1.43562   0.0386387
         119     1.06951     1.43254   0.0384363
         120      1.0814     1.42961   0.0382272
         121     1.09296     1.42683   0.0380124
         122     1.10417     1.42419   0.0377927
         123     1.11498     1.42167   0.0375689
         124     1.12535     1.41928   0.0373419
         125     1.13526     1.41701   0.0371122
         126     1.14468     1.41485   0.0368806
         127      1.1536     1.41279   0.0366475
         128     1.16199     1.41083   0.0364135
         129     1.16984     1.40896   0.0361791
         130     1.17715     1.40718   0.0359448
         131     1.18391     1.40548   0.0357108
         132     1.19013     1.40385   0.0354775
         133      1.1958     1.40228   0.0352452
         134     1.20093     1.40078   0.0350142
         135     1.20553     1.39933   0.0347847
         136     1.20961     1.39794   0.0345569
         137     1.21318     1.39659   0.0343309
         138     1.21626     1.39528    0.034107
         139     1.21886     1.39401   0.0338853
         140       1.221     1.39278   0.0336657
         141     1.22271     1.39157   0.0334486
         142       1.224     1.39039   0.0332338
         143     1.22489     1.38923   0.0330216
         144      1.2254      1.3881   0.0328119
         145     1.22556     1.38697   0.0326047
         146     1.22538     1.38587   0.0324002
         147     1.22489     1.38477   0.0321983
         148     1.22411     1.38369    0.031999
         149     1.22305     1.38261   0.0318024
         150     1.22174     1.38154   0.0316085
         151      1.2202     1.38047   0.0314172
         152     1.21843      1.3794   0.0312286
         153     1.21647     1.37834   0.0310426
         154     1.21432     1.37727   0.0308593
         155       1.212     1.37621   0.0306786
         156     1.20951     1.37514   0.0305006
         157     1.20688     1.37407   0.0303251
         158     1.20412     1.37299   0.0301523
         159     1.20122     1.37191    0.029982
         160     1.19821     1.37082   0.0298142
         161     1.19509     1.36973    0.029649
         162     1.19186     1.36863   0.0294863
         163     1.18854     1.36753   0.0293261
         164     1.18514     1.36642   0.0291684
         165     1.18165      1.3653   0.0290131
         166     1.17808     1.36417   0.0288602
         167     1.17443     1.36303   0.0287098
         168     1.17072     1.36189   0.0285617
         169     1.16694     1.36074    0.028416
         170     1.16311     1.35957   0.0282726
         171     1.15923      1.3584   0.0281315
         172      1.1553     1.35722   0.0279927
         173     1.15134     1.35603   0.0278562
         174     1.14734     1.35483   0.0277219
         175     1.14331     1.35362   0.0275899
         176     1.13927      1.3524     0.02746
         177     1.13522     1.35118   0.0273322
