# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0256496           0           0
   0.0512993           0           0
   0.0769489           0           0
    0.102599           0           0
    0.128248           0           0
    0.153898           0           0
    0.179547           0           0
    0.205197           0           0
    0.230847           0           0
    0.256496           0           0
    0.282146           0           0
    0.307796           0           0
    0.333445           0           0
    0.359095           0           0
    0.384745           0           0
    0.410394           0           0
    0.436044           0           0
    0.461694           0           0
    0.487343           0           0
    0.512993           0           0
    0.538642           0           0
    0.564292           0           0
    0.589942           0           0
    0.615591           0           0
    0.641241           0           0
    0.666891           0           0
     0.69254           0           0
     0.71819           0           0
     0.74384           0           0
    0.769489           0           0
    0.795139           0           0
    0.820788           0           0
    0.846438 1.70208e-05 1.25289e-05
    0.872088  0.00135036 8.06325e-05
    0.897737   0.0247298 0.000331134
    0.923387    0.166968  0.00119722
    0.949037    0.567391  0.00267603
    0.974686     1.20295  0.00461582
     1.00034     1.85861  0.00425335
     1.02599     2.33981   0.0049481
     1.05164     2.54762  0.00389325
     1.07728     2.54908  0.00436972
     1.10293     2.40873  0.00322836
     1.12858      2.1982  0.00387405
     1.15423     1.97007  0.00322006
     1.17988     1.75901  0.00342922
     1.20553     1.55535  0.00363709
     1.23118     1.39201  0.00361061
     1.25683     1.24306   0.0026615
     1.28248     1.12758   0.0030951
     1.30813     1.02375  0.00231739
     1.33378    0.941147  0.00221789
     1.35943    0.871665  0.00148123
     1.38508    0.817643  0.00163563
     1.41073     0.77273  0.00155572
     1.43638    0.739514  0.00142755
     1.46203    0.712041  0.00128446
     1.48768    0.691648  0.00150606
     1.51333    0.677414  0.00178827
     1.53898    0.670501  0.00141834
     1.56463    0.670133   0.0018742
     1.59028    0.674559  0.00155445
     1.61593    0.685745   0.0012467
     1.64158    0.703242  0.00131995
     1.66723    0.723633  0.00148123
     1.69288    0.749442  0.00162388
     1.71853    0.781718  0.00158362
     1.74418    0.816026  0.00161959
     1.76983    0.853778  0.00190787
     1.79547    0.893661  0.00223467
     1.82112    0.935505  0.00207003
     1.84677    0.977405   0.0019643
     1.87242     1.01935  0.00171091
     1.89807     1.05905  0.00244203
     1.92372     1.09709  0.00202722
     1.94937     1.13097  0.00172366
     1.97502     1.16005   0.0013342
     2.00067     1.18547  0.00146352
     2.02632     1.20255  0.00137942
     2.05197     1.21289  0.00130058
     2.07762     1.21415  0.00153107
     2.10327     1.20552  0.00185236
     2.12892     1.19164  0.00194201
     2.15457     1.17411  0.00210854
     2.18022     1.14916  0.00237916
     2.20587     1.12346  0.00219837
     2.23152     1.09553  0.00215643
     2.25717     1.06749  0.00187004
     2.28282     1.03923  0.00164541
     2.30847     1.01493  0.00183283
     2.33412    0.989833  0.00144568
     2.35977    0.968578  0.00125355
     2.38542     0.94683  0.00145554
     2.41107    0.933566  0.00113076
     2.43672    0.918689  0.00102531
     2.46237    0.909011  0.00120406
     2.48802    0.894261  0.00117135
     2.51366    0.886523  0.00109759
     2.53931     0.88639  0.00119625
