#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.34855     1.34855           0
           2     1.48051     1.41453    0.046657
           3     1.41898     1.41601   0.0311283
           4     1.55431     1.45059   0.0379675
           5      1.4623     1.45293   0.0304461
           6     1.46438     1.45484   0.0254316
           7     1.38178      1.4444   0.0238444
           8     1.40485     1.43946   0.0213702
           9     1.29844     1.42379   0.0240641
          10     1.32969     1.41438   0.0234252
          11      1.2876     1.40285   0.0239638
          12     1.31028     1.39514   0.0231754
          13     1.40404     1.39582   0.0214028
          14     1.49411     1.40284   0.0209938
          15     1.43494     1.40498   0.0197029
          16     1.31404      1.3993   0.0192739
          17     1.44955     1.40226   0.0183655
          18     1.46782      1.4059   0.0177026
          19      1.4281     1.40707   0.0168094
          20      1.3523     1.40433   0.0161904
