#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.44705    -5.44705           0
           2    -5.43679    -5.44192  0.00362656
           3    -5.44163    -5.44182    0.002419
           4    -5.44209    -5.44189   0.0018152
           5    -5.45328    -5.44417  0.00250243
           6    -5.42948    -5.44172  0.00305655
           7    -5.44948    -5.44283  0.00281388
           8    -5.46614    -5.44574  0.00367319
           9    -5.41871    -5.44274  0.00432213
          10    -5.47962    -5.44643  0.00523172
          11    -5.42456    -5.44444   0.0051198
          12    -5.44987    -5.44489  0.00471313
          13     -5.4367    -5.44426  0.00439249
          14     -5.4318    -5.44337  0.00416799
          15    -5.39581     -5.4402  0.00495156
          16    -5.44211    -5.44032  0.00464353
          17    -5.45274    -5.44105  0.00442748
          18    -5.43866    -5.44092  0.00418349
          19    -5.43266    -5.44048  0.00398582
          20    -5.46628    -5.44177  0.00398984
