TEMP:	MU:	SIGMA:	H:	ERROR:
3	0.695945	0.537376	-0.361248	0.00545929
3	0.652068	0.587493	-0.367325	0.00479441
3	0.56929	0.642126	-0.291423	0.00497773
3	0.690462	0.535415	-0.356018	0.00562195
3	0.522907	0.584072	-0.189561	0.00592853
3	0.690522	0.440189	-0.0589732	0.0141861
3	0.705348	0.524467	-0.348777	0.00646061
3	0.705348	0.524467	-0.348777	0.00646061
3	0.885766	0.448126	-0.0196822	0.0148909
3	0.704158	0.426291	0.0186779	0.0160429
3	0.539474	0.407239	0.108476	0.0131619
3	0.711394	0.480358	-0.25203	0.0097746
3	0.683763	0.418859	0.108917	0.0172805
3	0.547828	0.510236	-0.169503	0.00717469
3	0.458954	0.454323	0.0803268	0.0103974
3	0.290869	0.353266	0.832476	0.0159914
3	0.182657	0.388601	1.14927	0.0213734
3	0.195672	0.377649	1.16072	0.0201453
3	0.254152	0.483154	0.501557	0.0135659
3	0.23924	0.408878	0.825742	0.0184138
3	0.22732	0.432952	0.774844	0.0153276
3	0.177682	0.382431	1.14729	0.0232385
3	0.182727	0.308875	1.71029	0.0331891
3	0.303851	0.221107	2.44337	0.0672852
3	0.45631	0.287934	1.39249	0.0419377
3	0.45631	0.287934	1.3648	0.0428506
3	0.326714	0.244933	1.82389	0.0500437
3	0.326714	0.244933	1.73683	0.0547239
3	0.326714	0.244933	1.73683	0.0547239
3	0.326714	0.244933	1.64999	0.0498926
3	0.38621	0.269904	1.42482	0.041573
3	0.38621	0.269904	1.42482	0.041573
3	0.380959	0.318493	0.778967	0.0240303
3	0.539903	0.350776	0.572167	0.0223629
3	0.485157	0.478442	-0.0225868	0.0083301
3	0.468391	0.564778	-0.0859261	0.00748774
3	0.579925	0.483581	-0.163233	0.0096993
3	0.636839	0.38462	0.33021	0.020767
3	0.464323	0.46442	0.0517632	0.00902252
3	0.347234	0.542429	0.173965	0.00958985
3	0.235583	0.581006	0.235908	0.0106545
3	0.125355	0.439291	0.952355	0.0210282
3	0.163521	0.510052	0.60153	0.0117379
3	0.0999703	0.364522	1.58789	0.0308444
3	0.0999703	0.364522	1.57314	0.0277666
