BINS:	AVE:	ERRORS:
-2.61009	0	0
-2.55736	0	0
-2.50463	0	0
-2.4519	0.000379297	0.000381228
-2.39917	0	0
-2.34644	0.000379297	0.000381228
-2.29371	0.000758595	0.000536407
-2.24099	0.000758595	0.000536407
-2.18826	0.00113789	0.00114368
-2.13553	0.00758595	0.00315952
-2.0828	0.00493087	0.00207431
-2.03007	0.00265508	0.00111772
-1.97734	0.00796524	0.00250046
-1.92461	0.0128961	0.00356225
-1.87188	0.0147926	0.00433127
-1.81915	0.0288266	0.00634501
-1.76642	0.0345161	0.00571122
-1.7137	0.0360332	0.0058202
-1.66097	0.0500673	0.00722679
-1.60824	0.059929	0.00798531
-1.55551	0.073963	0.00921748
-1.50278	0.107341	0.0106189
-1.45005	0.103927	0.00977771
-1.39732	0.163856	0.0128327
-1.34459	0.183201	0.0152689
-1.29186	0.190407	0.0127765
-1.23913	0.245405	0.0147146
-1.1864	0.257164	0.0168374
-1.13368	0.314438	0.0195014
-1.08095	0.310645	0.0174043
-1.02822	0.358436	0.0156142
-0.975488	0.380056	0.0185262
-0.922759	0.412676	0.0201383
-0.87003	0.405848	0.0177452
-0.817301	0.438847	0.01935
-0.764572	0.41571	0.0199673
-0.711843	0.42633	0.0188338
-0.659113	0.434675	0.0189061
-0.606384	0.398642	0.0191075
-0.553655	0.39409	0.0176655
-0.500926	0.370194	0.0149783
-0.448197	0.375125	0.01647
-0.395468	0.358815	0.0142686
-0.342739	0.343643	0.0142315
-0.29001	0.323161	0.0128624
-0.237281	0.309886	0.0126851
-0.184552	0.298128	0.0135357
-0.131823	0.287507	0.0111992
-0.0790936	0.274611	0.0111195
-0.0263645	0.282956	0.0108428
0.0263645	0.267025	0.0115444
0.0790936	0.298886	0.0118996
0.131823	0.297369	0.0111538
0.184552	0.273853	0.0120382
0.237281	0.301921	0.0125204
0.29001	0.332264	0.0122741
0.342739	0.32923	0.014386
0.395468	0.351229	0.0149538
0.448197	0.345161	0.0139257
0.500926	0.399021	0.016626
0.553655	0.407365	0.0183561
0.606384	0.395986	0.0172231
0.659113	0.416469	0.0162644
0.711843	0.414193	0.0182282
0.764572	0.402435	0.017707
0.817301	0.425572	0.0186572
0.87003	0.395607	0.0198222
0.922759	0.36185	0.0183225
0.975488	0.371711	0.0192872
1.02822	0.378539	0.0199677
1.08095	0.3133	0.0196314
1.13368	0.309886	0.017015
1.1864	0.272715	0.0153613
1.23913	0.26437	0.0168189
1.29186	0.202924	0.0134852
1.34459	0.181304	0.0126564
1.39732	0.134271	0.0108292
1.45005	0.121754	0.0114854
1.50278	0.111134	0.0115105
1.55551	0.106203	0.0101661
1.60824	0.0686528	0.00861351
1.66097	0.052343	0.00814188
1.7137	0.045895	0.00670881
1.76642	0.0386883	0.00560445
1.81915	0.0193442	0.00424915
1.87188	0.0125168	0.00398382
1.92461	0.0117582	0.00290258
1.97734	0.00910314	0.0028218
2.03007	0.00265508	0.000977591
2.0828	0.00796524	0.00307928
2.13553	0.00265508	0.00145949
2.18826	0	0
2.24099	0.00265508	0.00135518
2.29371	0.00303438	0.00192949
2.34644	0	0
2.39917	0.000379297	0.000381228
2.4519	0	0
2.50463	0.000379297	0.000381228
2.55736	0	0
2.61009	0	0
