# VELOCITY:     AVE_POFV:        ERROR:
           0   0.0428676 0.000796774
    0.326599     0.21748  0.00204125
    0.653197    0.323653  0.00164359
    0.979796    0.248603  0.00152708
     1.30639    0.119021  0.00126841
     1.63299   0.0386042 0.000816237
     1.95959  0.00845556 0.000313928
     2.28619  0.00119722 0.000137523
     2.61279 0.000111574 4.61594e-05
     2.93939 6.48148e-06 6.31737e-06
     3.26599           0           0
     3.59258           0           0
     3.91918           0           0
     4.24578           0           0
     4.57238           0           0
     4.89898           0           0
     5.22558           0           0
     5.55218           0           0
     5.87878           0           0
     6.20537           0           0
     6.53197           0           0
     6.85857           0           0
     7.18517           0           0
     7.51177           0           0
     7.83837           0           0
     8.16497           0           0
     8.49156           0           0
     8.81816           0           0
     9.14476           0           0
     9.47136           0           0
