#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1      -5.311      -5.311           0
           2    -5.30796    -5.30948  0.00107616
           3    -5.30691    -5.30862  0.00100122
           4    -5.30931     -5.3088 0.000765328
           5    -5.31005    -5.30905 0.000652019
           6    -5.30719    -5.30874 0.000612133
           7    -5.30785    -5.30861 0.000537508
           8    -5.30563    -5.30824 0.000585203
           9     -5.3079     -5.3082 0.000521411
          10    -5.30855    -5.30824 0.000470472
          11    -5.30839    -5.30825  0.00042791
          12    -5.30562    -5.30803 0.000444875
          13    -5.30542    -5.30783 0.000453623
          14    -5.30857    -5.30788 0.000424257
          15    -5.30824    -5.30791 0.000396641
          16    -5.30815    -5.30792  0.00037214
          17    -5.30724    -5.30788 0.000352384
          18    -5.30845    -5.30791 0.000334228
          19    -5.30697    -5.30786 0.000320275
          20    -5.30762    -5.30785 0.000304487
