#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.241849   -0.241849           0
           2   -0.312384   -0.277116   0.0249379
           3    -0.28596   -0.280064   0.0167986
           4   -0.281548   -0.280435    0.012603
           5   -0.305124   -0.285373   0.0110073
           6   -0.317381   -0.290707   0.0103854
           7   -0.336429   -0.297239   0.0107615
           8   -0.307675   -0.298544  0.00949503
           9   -0.281609   -0.296662  0.00862445
          10   -0.326666   -0.299662  0.00826746
          11   -0.336259   -0.302989  0.00815785
          12    -0.27418   -0.300589  0.00782333
          13   -0.318739   -0.301985  0.00734506
          14   -0.308105   -0.302422  0.00683342
          15   -0.324931   -0.303922  0.00654054
          16   -0.314838   -0.304605  0.00616723
          17    -0.30211   -0.304458   0.0058062
          18   -0.286525   -0.303462  0.00556845
          19   -0.286033   -0.302544   0.0053504
          20   -0.325204   -0.303677  0.00520145
