#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.13927     2.13927           0
           2     2.18638     2.16283   0.0166551
           3     2.16878     2.16481    0.011221
           4     2.16577     2.16505  0.00841832
           5     2.18156     2.16835  0.00735339
           6     2.18968     2.17191  0.00693366
           7     2.20234     2.17626  0.00717803
           8     2.18326     2.17713  0.00633391
           9     2.16587     2.17588  0.00575248
          10     2.19583     2.17787  0.00551238
          11     2.20229     2.18009  0.00543969
          12     2.16093      2.1785   0.0052156
          13     2.19059     2.17943  0.00489667
          14     2.18349     2.17972   0.0045555
          15     2.19469     2.18071  0.00435973
          16     2.18797     2.18117  0.00411076
          17     2.17956     2.18107  0.00387004
          18     2.16911     2.18041  0.00371166
          19      2.1688      2.1798  0.00356628
          20     2.19483     2.18055   0.0034663
