#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.93617     1.93617           0
           2     1.96834     1.95225    0.011373
           3     1.97052     1.95834  0.00906672
           4     2.01905     1.97352   0.0147989
           5     1.99593       1.978   0.0124993
           6     1.97358     1.97726   0.0104378
           7     1.99653     1.98002  0.00930246
           8      2.0099     1.98375   0.0088578
           9     1.98789     1.98421  0.00788554
          10     2.03155     1.98894  0.00839854
          11     2.00786     1.99066  0.00780904
          12     2.03159     1.99407  0.00786797
          13     2.00368     1.99481  0.00729734
          14     2.00525     1.99556  0.00681406
          15     2.00387     1.99611  0.00638229
          16      1.9992     1.99631  0.00598632
          17     2.00308      1.9967  0.00564741
          18     1.97603     1.99556  0.00544919
          19     1.98747     1.99513  0.00517899
          20     1.93519     1.99213  0.00572185
          21     1.98698     1.99189  0.00545463
          22     1.94307     1.98967  0.00564002
          23     1.95844     1.98831  0.00555583
          24     2.04974     1.99087  0.00588441
          25     2.01765     1.99194  0.00574567
          26     2.00362     1.99239   0.0055422
          27     1.97921      1.9919   0.0053584
          28     2.00255     1.99228  0.00518051
          29     1.99135     1.99225  0.00500197
          30     1.97923     1.99182  0.00485402
          31     2.00699     1.99231  0.00472204
          32     1.93966     1.99066  0.00485264
          33     1.96437     1.98986  0.00477054
          34     1.95817     1.98893  0.00472041
          35       1.946     1.98771  0.00474225
          36     1.98629     1.98767  0.00461069
          37     2.00088     1.98802  0.00449989
          38     2.00014     1.98834  0.00439275
          39     2.02929     1.98939  0.00440383
          40     1.96438     1.98877   0.0043379
          41     1.98216     1.98861  0.00423509
          42     1.97624     1.98831  0.00414448
          43     2.02285     1.98911  0.00412518
          44     2.00871     1.98956  0.00405539
          45     1.95245     1.98873  0.00404826
          46     1.95925     1.98809  0.00401068
          47     1.98621     1.98805  0.00392555
          48     1.94946     1.98725  0.00392527
          49      1.9721     1.98694  0.00385732
          50     1.98735     1.98695  0.00378018
