#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.12538    -1.12538           0
           2   -0.583826   -0.854603    0.191469
           3   -0.494155   -0.734454    0.160989
           4   -0.460277    -0.66591    0.134545
           5   -0.434928   -0.619713    0.115294
           6   -0.408107   -0.584446    0.101329
           7   -0.392961   -0.557091   0.0904705
           8   -0.390528    -0.53627   0.0815222
           9   -0.366404   -0.517396   0.0746171
          10    -0.35228   -0.500885   0.0689581
          11   -0.375899   -0.489522   0.0636184
          12   -0.444423   -0.485764   0.0584277
          13   -0.377814    -0.47746   0.0545202
          14   -0.434096   -0.474363   0.0507138
          15   -0.404104   -0.469679   0.0475487
          16   -0.374106   -0.463706   0.0449505
          17   -0.364791   -0.457887   0.0426813
          18   -0.353521   -0.452089    0.040702
          19     -0.3599   -0.447237   0.0388479
          20   -0.340673   -0.441909   0.0372692
          21   -0.361787   -0.438093   0.0356892
          22   -0.396388   -0.436198   0.0341173
          23   -0.380676   -0.433784   0.0327192
          24   -0.410466   -0.432812   0.0313703
          25   -0.331492   -0.428759   0.0303762
          26   -0.428845   -0.428763   0.0292079
          27   -0.440227   -0.429187   0.0281292
          28   -0.341855   -0.426068   0.0272969
          29   -0.400945   -0.425202   0.0263694
          30   -0.395661   -0.424217   0.0255088
          31    -0.39388   -0.423239   0.0247047
          32   -0.410464   -0.422839   0.0239359
          33   -0.413726   -0.422563   0.0232122
          34   -0.373898   -0.421132   0.0225735
          35    -0.33998   -0.418813   0.0220473
          36    -0.39967   -0.418281   0.0214413
          37   -0.468438   -0.419637   0.0209046
          38   -0.376839   -0.418511   0.0203848
          39   -0.395139   -0.417912    0.019871
          40   -0.414759   -0.417833   0.0193743
          41   -0.381739   -0.416952   0.0189218
          42   -0.367039   -0.415764   0.0185085
          43   -0.404612   -0.415505   0.0180799
          44   -0.399569   -0.415142   0.0176726
          45   -0.376953   -0.414294   0.0173003
          46   -0.399077   -0.413963   0.0169274
          47   -0.422328   -0.414141   0.0165681
          48   -0.373813   -0.413301   0.0162443
          49   -0.371587    -0.41245    0.015935
          50   -0.339549   -0.410992   0.0156829
#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.339362   -0.339362           0
           2   -0.371702   -0.355532   0.0114341
           3    -0.37386   -0.361641  0.00910977
           4   -0.422323   -0.376812   0.0148083
           5   -0.399098   -0.381269   0.0124995
           6   -0.376726   -0.380512   0.0104392
           7   -0.400049   -0.383303   0.0093135
           8    -0.41327   -0.387049  0.00887069
           9   -0.391129   -0.387502  0.00789663
          10   -0.434704   -0.392222   0.0084001
          11   -0.411135   -0.393942  0.00781043
          12   -0.435043   -0.397367  0.00787485
          13   -0.406917   -0.398101  0.00730327
          14   -0.408563   -0.398849  0.00681974
          15   -0.407007   -0.399393  0.00638674
          16   -0.402457   -0.399584  0.00599044
          17   -0.406273   -0.399978  0.00565097
          18   -0.379455   -0.398837  0.00545083
          19   -0.390948   -0.398422  0.00517973
          20   -0.338408   -0.395422  0.00572432
          21   -0.390196   -0.395173  0.00545714
          22   -0.346327   -0.392952  0.00564271
          23   -0.361744   -0.391596  0.00555812
          24    -0.45315    -0.39416  0.00588862
          25   -0.421007   -0.395234  0.00575016
          26   -0.406748   -0.395677  0.00554603
          27   -0.382471   -0.395188  0.00536214
          28    -0.40575   -0.395565  0.00518389
          29   -0.394579   -0.395531  0.00500525
          30   -0.382539   -0.395098  0.00485711
          31   -0.410152   -0.395584  0.00472464
          32   -0.342867   -0.393936  0.00485571
          33   -0.367587   -0.393138  0.00477377
          34   -0.361313   -0.392202  0.00472424
          35   -0.349236   -0.390974  0.00474608
          36   -0.389779   -0.390941  0.00461436
          37   -0.404272   -0.391301  0.00450369
          38   -0.403664   -0.391627  0.00439691
          39   -0.432396   -0.392672  0.00440668
          40    -0.36762   -0.392046   0.0043408
          41   -0.385504   -0.391886  0.00423785
          42   -0.379561   -0.391593   0.0041471
          43   -0.426098   -0.392395  0.00412756
          44   -0.411963    -0.39284  0.00405764
          45   -0.355673   -0.392014  0.00405066
          46    -0.36261   -0.391375  0.00401272
          47   -0.389573   -0.391336  0.00392753
          48   -0.352766   -0.390533  0.00392705
          49   -0.375392   -0.390224  0.00385904
          50   -0.390592   -0.390231  0.00378187
