#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.46304    -5.46304           0
           2     -5.4472    -5.45512  0.00560042
           3    -5.45625     -5.4555  0.00374623
           4    -5.43386    -5.45009  0.00546223
           5    -5.45242    -5.45055  0.00438955
           6    -5.44864    -5.45024  0.00366949
           7    -5.46273    -5.45202  0.00355315
           8    -5.46965    -5.45423   0.0037304
           9     -5.4863    -5.45779  0.00472059
          10    -5.48114    -5.46012   0.0047914
          11    -5.48154    -5.46207  0.00473488
          12    -5.47743    -5.46335  0.00450992
          13    -5.45915    -5.46303  0.00417456
          14    -5.44898    -5.46202  0.00399512
          15    -5.45776    -5.46174  0.00373887
          16    -5.48878    -5.46343  0.00386826
          17    -5.45574    -5.46298  0.00366707
          18    -5.44971    -5.46224  0.00353661
          19    -5.46251    -5.46226   0.0033505
          20    -5.47048    -5.46267  0.00320809
