# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0256496           0           0
   0.0512993           0           0
   0.0769489           0           0
    0.102599           0           0
    0.128248           0           0
    0.153898           0           0
    0.179547           0           0
    0.205197           0           0
    0.230847           0           0
    0.256496           0           0
    0.282146           0           0
    0.307796           0           0
    0.333445           0           0
    0.359095           0           0
    0.384745           0           0
    0.410394           0           0
    0.436044           0           0
    0.461694           0           0
    0.487343           0           0
    0.512993           0           0
    0.538642           0           0
    0.564292           0           0
    0.589942           0           0
    0.615591           0           0
    0.641241           0           0
    0.666891           0           0
     0.69254           0           0
     0.71819           0           0
     0.74384           0           0
    0.769489           0           0
    0.795139           0           0
    0.820788           0           0
    0.846438 2.18838e-05 2.13297e-05
    0.872088  0.00148333 0.000229567
    0.897737   0.0237749 0.000978249
    0.923387    0.174221  0.00350924
    0.949037    0.579341  0.00573744
    0.974686     1.22745   0.0100858
     1.00034     1.89034  0.00836933
     1.02599     2.35951   0.0102605
     1.05164     2.55151  0.00937711
     1.07728     2.55585   0.0103419
     1.10293     2.39358   0.0091992
     1.12858     2.17036  0.00701488
     1.15423     1.95946  0.00857126
     1.17988     1.73426  0.00885149
     1.20553     1.53258  0.00831723
     1.23118     1.37507   0.0060393
     1.25683     1.24533  0.00547683
     1.28248     1.12132  0.00654403
     1.30813     1.01332  0.00590954
     1.33378    0.936459  0.00682861
     1.35943    0.876694  0.00402542
     1.38508    0.815548  0.00334846
     1.41073    0.761288  0.00383813
     1.43638    0.733582   0.0048179
     1.46203    0.712512  0.00457192
     1.48768    0.688742   0.0056593
     1.51333    0.679507  0.00487507
     1.53898    0.672777   0.0046546
     1.56463    0.675983  0.00403765
     1.59028    0.679042  0.00367782
     1.61593    0.698956  0.00422859
     1.64158    0.711787   0.0049673
     1.66723    0.730351  0.00537582
     1.69288    0.757264  0.00336598
     1.71853    0.790144  0.00361059
     1.74418    0.819601  0.00413238
     1.76983    0.856395  0.00384566
     1.79547    0.897716  0.00462751
     1.82112    0.945989  0.00537143
     1.84677    0.983846  0.00457405
     1.87242     1.02389   0.0042709
     1.89807     1.06065  0.00533125
     1.92372     1.09758  0.00527361
     1.94937     1.12909  0.00386008
     1.97502     1.16141  0.00476807
     2.00067     1.18442  0.00578428
     2.02632     1.20766  0.00372615
     2.05197     1.21272  0.00387727
     2.07762     1.21206  0.00430951
     2.10327     1.19853  0.00432658
     2.12892     1.18894   0.0050806
     2.15457      1.1688  0.00455795
     2.18022     1.14253  0.00415873
     2.20587     1.11252  0.00483722
     2.23152     1.08664   0.0041905
     2.25717     1.06062  0.00448005
     2.28282     1.03114  0.00430214
     2.30847     1.00452  0.00368906
     2.33412    0.982781   0.0030841
     2.35977    0.962096  0.00351926
     2.38542    0.941157   0.0031751
     2.41107    0.927751  0.00302619
     2.43672    0.910428  0.00383911
     2.46237    0.901549  0.00332057
     2.48802    0.894039  0.00400603
     2.51366    0.890568  0.00385218
     2.53931    0.892174  0.00325878
