#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.47814     1.47814           0
           2     1.48639     1.48226  0.00291668
           3     1.53902     1.50118   0.0155703
           4     1.46079     1.49108   0.0145892
           5     1.48932     1.49073   0.0116756
           6     1.50749     1.49352   0.0100582
           7     1.56641     1.50394   0.0129328
           8     1.43423     1.49522   0.0139458
           9     1.63598     1.51086   0.0192636
          10     1.32989     1.49277   0.0243996
          11     1.65753     1.50775   0.0263816
          12     1.50482      1.5075   0.0241842
          13     1.46185     1.50399   0.0225774
          14     1.50383     1.50398   0.0209647
          15      1.7052     1.51739   0.0234696
          16      1.5663     1.52045   0.0222008
          17     1.48918     1.51861    0.020971
          18     1.50434     1.51782   0.0198209
          19     1.46151     1.51485   0.0189979
          20     1.45387     1.51181   0.0182911
